NTSB,4527
DBLd1,2559
CIDRb1,696
CIDRa2.2,359
DBLepam5,336
DBLa0.7,315
DBLepam4,309
DBLpam3,252
DBLpam2,242
DBLa0.11,220
DBLe10,215
DBLpam1,213
CIDRg10,189
DBLa0.1,149
DBLg2,147
DBLa0.5,130
CIDRa2.4,118
CIDRa3.1,113
DBLe14,108
DBLz4,107
DBLb5,105
DBLa0.16,99
CIDRpam,94
DBLg3,93
DBLa0.8,93
DBLg11,90
DBLg1,88
CIDRa3.2,79
DBLz2,76
CIDRb5,74
DBLb11,74
CIDRg4,74
DBLd7,73
DBLg13,72
DBLe3,71
DBLa0.12,71
DBLa1.1,71
DBLb1,66
CIDRb6,65
DBLa0.15,65
DBLb6,64
DBLa2,64
DBLb12,60
DBLa0.23,59
DBLg5,59
DBLg16,58
DBLe2,58
DBLe1,57
DBLg8,57
DBLa0.22,54
DBLd4,53
DBLz3,53
DBLa0.20,53
DBLb8,52
DBLz5,51
DBLa0.13,46
CIDRa2.6,46
DBLg15,44
CIDRa3.3,44
CIDRg5,44
CIDRa2.8,43
CIDRg2,41
DBLa0.3,41
DBLb3,40
CIDRg7,40
DBLa0.17,39
DBLa0.2,39
DBLg17,38
DBLe5,38
DBLe6,37
DBLa0.9,37
CIDRg12,36
DBLb2,36
DBLd2,35
CIDRa3.4,34
DBLa1.2,34
DBLg14,33
CIDRa1.4,33
DBLe9,32
CIDRa5,31
CIDRg1,31
DBLg9,31
DBLb13,30
CIDRa2.10,29
CIDRa2.5,29
DBLg10,28
DBLa1.8,28
DBLg4,28
DBLg7,27
DBLa0.18,26
CIDRa4,26
CIDRg11,25
CIDRa2.9,24
CIDRa1.2,23
DBLe11,22
DBLe4,22
DBLb4,21
DBLd5,20
CIDRb4,20
DBLa0.24,20
DBLa1.4,20
DBLg6,20
CIDRb7,19
DBLa0.14,19
CIDRa1.8,19
DBLa0.6,19
DBLd3,18
DBLb7,18
NTSA,17
DBLa0.19,16
CIDRd1,15
NTSpam,15
DBLb10,14
DBLd8,13
DBLa1.5,13
DBLa1.7,13
CIDRa2.1,13
CIDRg8,13
DBLb9,12
CIDRb3,12
DBLa0.10,12
DBLa1.6,11
DBLg12,10
CIDRa2.11,10
DBLe13,9
CIDRa1.7,9
DBLa0.4,9
CIDRb2,8
CIDRg9,8
CIDRa1.6,8
DBLe7,7
CIDRa2.3,7
CIDRd2,7
DBLa0.21,5
DBLd6,3
DBLd9,3
CIDRa3.5,2
CIDRa6,2
CIDRa1.5,2
DBLg18,1
DBLz6,1
DBLe8,1
DBLe12,1
