clusters,root
860000_0.5,860000
1290000_0.6,1290000
1540263_0.8,1540124
660118_0.8,660079
770009_0.6,770001
1510073_0.8,1510038
630040_0.97,630000
1020008_0.75,1020006
170182_0.9,170033
170018_0.6,170013
170183_0.9,170032
1010022_0.9,1010007
1590000_0.6,1590000
380000_0.6,380000
1180041_0.6,1180041
390069_0.6,390062
450016_0.65,450001
120025_0.7,120005
530031_0.7,530015
1090004_0.5,1090004
910242_0.7,910206
1330028_0.5,1330028
1580036_0.5,1580036
1230006_0.6,1230001
1190001_0.7,1190001
1590029_0.8,1590008
